,relevance,state,bill_number,bill_id,change_hash,url,text_url,research_url,last_action_date,last_action,title,status,status_date,body,description,session.session_name,latest_text_id,latest_text_type
0,100,DC,B25-0460,1778035,e96fc947b1b4170adf7a3fe91291a61b,https://legiscan.com/DC/bill/B25-0460/2023,https://legiscan.com/DC/text/B25-0460/2023,https://legiscan.com/DC/research/B25-0460/2023,2023-09-22,Notice of Intent to Act on B25-0460 Published in the DC Register,Transgender and Gender-Diverse Mortality and Fatality Review Committee Amendment Act of 2023,1,2023-09-18,C,Transgender and Gender-Diverse Mortality and Fatality Review Committee Amendment Act of 2023,25th Council,2841493,Introduced
1,99,UT,SB0016,1639439,08365a8389d5396972c4bf8ea24aba4f,https://legiscan.com/UT/bill/SB0016/2023,https://legiscan.com/UT/text/SB0016/2023,https://legiscan.com/UT/research/SB0016/2023,2023-02-01,LFA/ fiscal note publicly available in Lieutenant Governor's office for filing,Transgender Medical Treatments and Procedures Amendments,4,2023-01-28,S,Transgender Medical Treatments and Procedures Amendments,2023 General Session,2668336,Enrolled
2,99,US,SR154,1751343,06318270b8561fe219767223d18ec5a5,https://legiscan.com/US/bill/SR154/2023,https://legiscan.com/US/text/SR154/2023,https://legiscan.com/US/research/SR154/2023,2023-03-30,Referred to the Committee on the Judiciary. (text: CR S1105),A resolution supporting the goals and ideals of International Transgender Day of Visibility.,1,2023-03-30,S,A resolution supporting the goals and ideals of International Transgender Day of Visibility.,118th Congress,2769857,Introduced
3,99,US,HB4960,1775559,4b4f0eb3dd24effa8856807e97dd02fb,https://legiscan.com/US/bill/HB4960/2023,https://legiscan.com/US/text/HB4960/2023,https://legiscan.com/US/research/HB4960/2023,2023-07-27,Referred to the House Committee on the Judiciary.,Chyna Gibson Stop the Transgender Murder Epidemic Act of 2023,1,2023-07-27,H,"To establish a Commission to address the pervasive, and targeted epidemic of fatal violence, economic discrimination, and other factors disproportionally impacting members of the transgender community, and to make recommendations to Congress on appropriate remedies.",118th Congress,2837562,Introduced
4,99,US,HR568,1773656,4e0420e22078d0735bbc78193d5a470b,https://legiscan.com/US/bill/HR568/2023,https://legiscan.com/US/text/HR568/2023,https://legiscan.com/US/research/HR568/2023,2023-06-30,Referred to the House Committee on the Judiciary.,Original LGBTQIA+ Pride Month Resolution of 2023,1,2023-06-30,H,Encouraging the celebration of the month of June as LGBTQIA+ Pride Month.,118th Congress,2832366,Introduced
5,99,US,HCR32,1751469,455100e3bd1602eed4b3c0dca9fab0dc,https://legiscan.com/US/bill/HCR32/2023,https://legiscan.com/US/text/HCR32/2023,https://legiscan.com/US/research/HCR32/2023,2023-03-30,Referred to the House Committee on the Judiciary.,Supporting the goals and ideals of International Transgender Day of Visibility.,1,2023-03-30,H,Supporting the goals and ideals of International Transgender Day of Visibility.,118th Congress,2767528,Introduced
6,99,US,HR269,1751480,7c57fcf138ea8b2ea9f9da21690ac1eb,https://legiscan.com/US/bill/HR269/2023,https://legiscan.com/US/text/HR269/2023,https://legiscan.com/US/research/HR269/2023,2023-04-19,Sponsor introductory remarks on measure. (CR H1860),"Recognizing that it is the duty of the Federal Government to develop and implement a Transgender Bill of Rights to protect and codify the rights of transgender and nonbinary people under the law and ensure their access to medical care, shelter, safety, and economic security.",1,2023-03-30,H,"Recognizing that it is the duty of the Federal Government to develop and implement a Transgender Bill of Rights to protect and codify the rights of transgender and nonbinary people under the law and ensure their access to medical care, shelter, safety, and economic security.",118th Congress,2767533,Introduced
7,99,CA,SR33,1760520,cdcab5a66e95cb564ca55aacf0a0d273,https://legiscan.com/CA/bill/SR33/2023,https://legiscan.com/CA/text/SR33/2023,https://legiscan.com/CA/research/SR33/2023,2023-06-05,Read. Adopted. (Ayes 31. Noes 0. Page 1445.),"Relative to Lesbian, Gay, Bisexual, Transgender, and Queer (LGBTQ+) Pride Month.",4,2023-06-05,S,"Relative to Lesbian, Gay, Bisexual, Transgender, and Queer (LGBTQ+) Pride Month.",2023-2024 Session,2824558,Enrolled
8,99,US,SR144,1751332,6efd271d7b7e42b433223a742b5c0ddb,https://legiscan.com/US/bill/SR144/2023,https://legiscan.com/US/text/SR144/2023,https://legiscan.com/US/research/SR144/2023,2023-03-30,Referred to the Committee on the Judiciary. (text: CR S1099-1100),"A resolution recognizing that it is the duty of the Federal Government to develop and implement a Transgender Bill of Rights to protect and codify the rights of transgender and nonbinary people under the law and ensure their access to medical care, shelter, safety, and economic safety.",1,2023-03-30,S,"A resolution recognizing that it is the duty of the Federal Government to develop and implement a Transgender Bill of Rights to protect and codify the rights of transgender and nonbinary people under the law and ensure their access to medical care, shelter, safety, and economic safety.",118th Congress,2769603,Introduced
9,99,NJ,A1592,1554648,14cc4a42f68af2d5847288be34efa9a3,https://legiscan.com/NJ/bill/A1592/2022,https://legiscan.com/NJ/text/A1592/2022,https://legiscan.com/NJ/research/A1592/2022,2022-01-11,"Introduced, Referred to Assembly Health Committee","Establishes ""Commission on Lesbian, Gay, Bisexual, Transgender, Queer, and Questioning Affairs.""",1,2022-01-11,A,"Establishes ""Commission on Lesbian, Gay, Bisexual, Transgender, Queer, and Questioning Affairs.""",2022-2023 Regular Session,2474186,Introduced
10,99,NY,A01708,1667535,8b140b0bd3b73cd3c292ba50a2829428,https://legiscan.com/NY/bill/A01708/2023,https://legiscan.com/NY/text/A01708/2023,https://legiscan.com/NY/research/A01708/2023,2023-02-01,substituted by s1336,Makes technical corrections to the Lorena Borjas transgender and non-binary (TGNB) wellness and equity program fund act.,1,2023-01-18,A,Makes technical corrections to the Lorena Borjas transgender and non-binary (TGNB) wellness and equity program fund act.,2023-2024 General Assembly,2649219,Introduced
11,99,NY,S01336,1654360,49c73cf12e3ba63aecb13fe93969ad7d,https://legiscan.com/NY/bill/S01336/2023,https://legiscan.com/NY/text/S01336/2023,https://legiscan.com/NY/research/S01336/2023,2023-03-03,SIGNED CHAP.97,Makes technical corrections to the Lorena Borjas transgender and non-binary (TGNB) wellness and equity program fund act.,4,2023-03-03,S,Makes technical corrections to the Lorena Borjas transgender and non-binary (TGNB) wellness and equity program fund act.,2023-2024 General Assembly,2634614,Introduced
12,99,CA,AB1487,1714405,b4e7460f898a98d434ccc73c1e2af473,https://legiscan.com/CA/bill/AB1487/2023,https://legiscan.com/CA/text/AB1487/2023,https://legiscan.com/CA/research/AB1487/2023,2023-10-13,"Chaptered by Secretary of State - Chapter 845, Statutes of 2023.","Public health: Transgender, Gender Variant, and Intersex Wellness Reentry Fund.",4,2023-10-13,A,"An act to add Division 119.1 (commencing with Section 150925) to the Health and Safety Code, relating to public health.",2023-2024 Session,2845886,Chaptered
13,99,NJ,A4109,1622862,33f785bda40f0f5943b6f5c9645814f3,https://legiscan.com/NJ/bill/A4109/2022,https://legiscan.com/NJ/text/A4109/2022,https://legiscan.com/NJ/research/A4109/2022,2022-06-02,"Introduced, Referred to Assembly Education Committee",Requires school districts to adopt policies concerning needs of transgender students.,1,2022-06-02,A,Requires school districts to adopt policies concerning needs of transgender students.,2022-2023 Regular Session,2592924,Introduced
14,99,DE,HCR31,1751157,861327f09a568cbcd7c3cbfba4718190,https://legiscan.com/DE/bill/HCR31/2023,https://legiscan.com/DE/text/HCR31/2023,https://legiscan.com/DE/research/HCR31/2023,2023-04-04,Passed By Senate. Votes: 15 YES 1 NO 5 NOT VOTING,Recognizing March 31st As International Transgender Day Of Visibility.,2,2023-04-04,H,This concurrent resolution commemorates March 31st as International Transgender Day of Visibility.,152nd General Assembly,2765732,Draft
15,99,DC,B25-0168,1727805,6571c972b8bc3b7378f500ba79155375,https://legiscan.com/DC/bill/B25-0168/2023,https://legiscan.com/DC/text/B25-0168/2023,https://legiscan.com/DC/research/B25-0168/2023,2023-09-29,"Law L25-0045, Effective from Aug 24, 2023 Published in DC Register Vol 70 and Page 012878",Pride Plates Amendment Act of 2023,4,2023-07-10,C,"As introduced Bill 25-168 would establish a fund to support programs that promote the Welfare of the lesbian, gay, bisexual, transgender, and questioning (LGBTQ) community. It also directs the Mayor to create LGBTQ Pride motor vehicle identification tags to support the fund.",25th Council,2829697,Enrolled
16,99,ND,HB1522,1667150,f28f944cea65aa54142967d7bf4aa765,https://legiscan.com/ND/bill/HB1522/2023,https://legiscan.com/ND/text/HB1522/2023,https://legiscan.com/ND/research/HB1522/2023,2023-05-18,Filed with Secretary Of State 05/09,Preferred pronouns and providing accommodations to a transgender student; to provide a penalty; and to declare an emergency.,4,2023-05-18,H,"AN ACT to create and enact a new section to chapter 14-02.4 and a new section to chapter 15.1-06 of the North Dakota Century Code, relating to preferred pronouns and providing accommodations to a transgender student; to provide a penalty; and to declare an emergency.",68th Legislative Assembly,2797884,Enrolled
17,99,NY,J00122,1643788,b45e9e021bb0885db60dee31e0f390c2,https://legiscan.com/NY/bill/J00122/2023,https://legiscan.com/NY/text/J00122/2023,https://legiscan.com/NY/research/J00122/2023,2023-01-10,ADOPTED,"Memorializing Governor Kathy Hochul to proclaim November 20, 2023, as Transgender Day of Remembrance in the State of New York",4,2023-01-10,S,"Memorializing Governor Kathy Hochul to proclaim November 20, 2023, as Transgender Day of Remembrance in the State of New York",2023-2024 General Assembly,2623990,Introduced
